applications,count
Capgemini,17
agap2,9
INFOGENE,9
GenBio AI,9
DNA Script,8
WEnvision,7
WHIZE,7
EFOR,7
Sia,6
Capgemini Invent,6
Barrington James,5
Crossover ,5
LITY,5
Thinkmarket,5
Argobio Studio,4
MGI,4
Harnham,4
Scalian,4
Carrot Recruitment,4
Beelix,4
"Kalyptus, It & Digital Executive Search",4
Datatorii,4
ALTEN,4
Lincoln France,4
Technology & Strategy,4
"Yotta - Expert en recrutement Data, AI & Product",3
Oliver Bernard,3
Hugging Face,3
Keley Consulting,3
Sopra Steria Next,3
Eurofins Switzerland PSS,3
Glocomms,3
Renault Digital,3
Solypse,3
(unknown),3
TAK,3
Coders Connect,3
Esmoz,3
MCA,3
BIOASTER,3
European Tech Recruit,3
Alcimed,3
Merck Group,3
NTU International A/S,3
Dailymotion,3
Sartorius Polyplus,3
Planet Pharma,3
STATERA,3
AKTEHOM,2
Dynergie,2
