company,applications
Capgemini,17
agap2,9
INFOGENE,9
GenBio AI,9
DNA Script,8
WEnvision,7
WHIZE,7
EFOR,7
Sia,6
Capgemini Invent,6
Barrington James,5
Crossover ,5
LITY,5
Thinkmarket,5
Argobio Studio,4
MGI,4
Harnham,4
Scalian,4
Carrot Recruitment,4
Beelix,4
"Kalyptus, It & Digital Executive Search",4
Datatorii,4
ALTEN,4
Lincoln France,4
Technology & Strategy,4
"Yotta - Expert en recrutement Data, AI & Product",3
Oliver Bernard,3
Hugging Face,3
Keley Consulting,3
Sopra Steria Next,3
Eurofins Switzerland PSS,3
Glocomms,3
Renault Digital,3
Solypse,3
(unknown),3
TAK,3
Coders Connect,3
Esmoz,3
MCA,3
BIOASTER,3
European Tech Recruit,3
Alcimed,3
Merck Group,3
NTU International A/S,3
Dailymotion,3
Sartorius Polyplus,3
Planet Pharma,3
STATERA,3
AKTEHOM,2
Dynergie,2
CT19,2
Eurécia,2
Eurofins Analyses Alimentaires France ,2
SparingVision,2
Sofitex Experts,2
Stealth Startup,2
CliniSciences Group,2
Human Wealth by In Extenso,2
Devoteam,2
URBAN LINKER,2
Caduceum,2
Conseil supérieur de l'ordre des experts-comptables,2
Neovity,2
AI Builders,2
Crayon,2
Eurofins,2
Klanik,2
BIOGROUP,2
Savana,2
Accenture,2
Eden Tech ,2
Ministère de la Santé,2
4Dcell,2
Understanding Recruitment,2
STORK Groupe,2
Findr,2
Excelra,2
STEDIA,2
IT&M Stats,2
MIGSO-PCUBED,2
Plum Advisory,2
ACENSI,2
Enovacom,2
SOFTEAM Expertise Data & IA,2
PQE Group,2
Devoteam Data Driven,2
Doctolib,2
Talan,2
SFEIR,2
Sopra Steria,2
Descartes Underwriting,2
MipihSIB,2
Talan - France,2
OVENTI Consulting,2
JAKALA,2
Artefact,2
ODDO BHF,2
BVI Medical,2
Shift Consulting,2
Diabolocom,2
Delos,2
SQLI,2
Yseop,2
IODA Group,2
Institut Français d'Intelligence Artificielle,2
Boston Consulting Group (BCG),2
Aubay,2
Equancy | Groupe EDG,2
GROUPE ALLIANCE,2
Eulidia,2
Apside,2
InvivoGen,2
CloudCo Solutions Ltd,2
